"No.","Question","Correct Answer","Option 2","Option 3","Option 4","Explanation"
"1","What does AI stand for?","Artificial Intelligence","Automated Internet","Advanced Input","Artificial Information","AI stands for Artificial Intelligence: computer systems designed to perform tasks that usually require human intelligence."
"2","Which of these is a common example of AI in daily life?","A voice assistant","A paper notebook","A basic light switch","A drinking glass","Voice assistants use AI to understand speech, interpret requests, and produce useful responses."
"3","What can generative AI create?","Text, images, audio, and code","Only spreadsheets","Only physical machines","Electricity","Generative AI can produce many kinds of digital content, including text, images, music, video, and software code."
"4","Which device might use AI to recognize your face?","A smartphone","A wooden chair","A paper clip","A standard mug","Many smartphones use AI-powered facial recognition to help verify the owner's identity."
"5","What is a chatbot designed to do?","Have a conversation with users","Charge a phone battery","Print paper documents","Repair computer hardware","A chatbot is software designed to communicate with people through text or voice."
"6","What does an AI model learn from?","Data and examples","Luck alone","Electric cables","Screen brightness","AI models identify patterns by learning from data and examples during training."
"7","Can AI make mistakes?","Yes, AI can be wrong","No, AI is always correct","Only on Tuesdays","Only without internet","AI can produce incorrect, biased, or misleading results, so important outputs should be checked."
"8","What is a prompt when using generative AI?","An instruction or question","A computer battery","A type of password","A screen setting","A prompt is the instruction, question, or information you give an AI system."
"9","Which is the safest way to use an AI answer?","Check important facts","Trust every word immediately","Share private passwords","Never read the result","AI is useful, but important information should be verified with reliable sources."
"10","How can AI help with email?","Drafting and summarizing messages","Physically delivering a parcel","Replacing the internet","Charging the keyboard","AI tools can help write, rewrite, translate, and summarize email messages."
"11","What can recommendation systems suggest?","Movies, music, or products","Tomorrow's exact lottery numbers","A new law of physics","Your private password","Recommendation systems learn from patterns to suggest content or products a user may enjoy."
"12","Which field uses AI to help examine medical images?","Healthcare","Carpentry only","Pottery only","Bookbinding only","AI can assist healthcare professionals by identifying patterns in scans and other medical images."
"13","What is machine learning?","A way for computers to learn patterns from data","Teaching a laptop to walk","Building machines by hand","A faster internet cable","Machine learning is a branch of AI in which systems learn patterns from data."
"14","Which AI feature helps email services identify unwanted messages?","Spam filtering","Screen rotation","Battery saver","Volume control","Spam filters use learned patterns to detect suspicious or unwanted email."
"15","What should you avoid entering into a public AI tool?","Passwords and sensitive personal data","A general knowledge question","A recipe idea","A made-up story topic","Sensitive or confidential information should not be shared with public AI tools unless approved and protected."
"16","Can AI understand human emotions exactly as people do?","No, it can only detect patterns and signals","Yes, always and perfectly","Only through a printer","Only when offline","AI can detect emotional signals in text, voice, or images, but it does not experience feelings like a person."
"17","What is speech recognition used for?","Turning spoken words into text or commands","Making a screen brighter","Cooling a computer","Printing photographs","Speech recognition converts spoken language into text or actions a computer can process."
"18","Which task is AI translation useful for?","Converting text between languages","Increasing battery size","Folding a paper document","Changing screen material","AI translation tools help convert words and sentences from one language into another."
"19","What is an algorithm?","A set of steps for solving a problem","A computer brand","A type of screen","An internet bill","An algorithm is a sequence of instructions or rules used to complete a task or solve a problem."
"20","Why does the quality of training data matter?","It affects the quality of AI results","It changes the computer's color","It controls room temperature","It makes keyboards larger","Incomplete, incorrect, or biased training data can lead to poor AI results."
"21","Which is an example of computer vision?","Identifying objects in a photo","Reading a paper book by hand","Turning up speaker volume","Sending a blank email","Computer vision helps machines analyze and understand images and video."
"22","How might AI help a driver?","Detecting lanes and nearby obstacles","Removing the need for all road rules","Guaranteeing no accidents","Creating fuel from nothing","Driver assistance systems can use AI to detect lanes, signs, vehicles, and hazards."
"23","What is a deepfake?","AI-generated or altered media that can look real","A very deep swimming pool","A broken hard drive","A secure backup","Deepfakes use AI to create or alter video, images, or audio in convincing ways."
"24","What is one good way to spot possible AI-generated misinformation?","Compare it with trusted sources","Believe it if it looks professional","Count the number of colors","Check your battery level","Cross-check surprising claims with multiple reliable sources before believing or sharing them."
"25","Does AI need electricity and computing power to run?","Yes","No","Only in winter","Only for images","AI systems run on computers and data centers that require hardware and electricity."
"26","Which human skill remains important when using AI?","Critical thinking","Typing without reading","Ignoring context","Sharing every result","Critical thinking helps people judge whether an AI result is accurate, useful, fair, and appropriate."
"27","What does personalization mean in an AI service?","Adapting results to a user's interests or needs","Giving everyone the exact same result","Removing all settings","Turning off the device","Personalization uses information or behavior patterns to tailor suggestions and experiences."
"28","Can AI help people with accessibility needs?","Yes, through tools such as captions and text-to-speech","No, it has no accessibility uses","Only by changing wallpaper","Only by printing documents","AI can power live captions, image descriptions, speech tools, and other accessibility features."
"29","What does text-to-speech do?","Reads written text aloud","Turns music into a photo","Makes a keyboard wireless","Encrypts every file","Text-to-speech technology converts written words into spoken audio."
"30","Why should a human review an important AI decision?","AI may miss context or make an error","AI needs help turning on","Humans use less electricity","It makes the screen sharper","Human review adds judgment, accountability, and context, especially for decisions affecting people."
"31","Which is a responsible use of AI at work?","Using approved tools and checking the output","Uploading confidential data anywhere","Hiding all AI use","Letting AI make every decision alone","Responsible workplace use follows company policy, protects data, and includes human review."
"32","What can an AI summary do?","Shorten a long piece of content into key points","Guarantee every detail is correct","Replace the original forever","Repair a damaged screen","AI can condense long content, but summaries should be checked for missing or incorrect details."
"33","What is facial recognition based on?","Patterns in facial features","A person's shoe size","The phone's ringtone","The day of the week","Facial recognition compares patterns and measurements found in images of faces."
"34","Which statement about AI and jobs is most accurate?","AI can change tasks and create new kinds of work","AI affects no jobs at all","AI will replace every job tomorrow","Only robots can use AI","AI often changes how tasks are performed and can both transform existing roles and create new ones."
"35","What is bias in an AI system?","Unfair patterns in its results","A faster processor","A low battery warning","A software update","AI bias occurs when a system produces unfair or systematically skewed outcomes."
"36","Can AI-generated images show events that never happened?","Yes","No","Only in black and white","Only with a camera attached","Generative AI can create realistic-looking fictional scenes, so images are not always proof of an event."
"37","Which question makes a prompt more useful?","What context and outcome do I want?","Is my screen bright enough?","How old is my keyboard?","What color is the cable?","Clear context, constraints, and a desired output usually help AI provide a more useful response."
"38","What is natural language processing used for?","Working with human language","Building physical roads","Charging electric cars","Measuring room size","Natural language processing helps computers analyze, understand, and generate human language."
"39","Can AI learn your preferences from your activity?","Yes, if the service collects and uses that data","Never under any condition","Only from printed paper","Only while the phone is off","Some services use browsing, viewing, or purchase activity to personalize their AI-powered recommendations."
"40","What is a smart way to ask AI for better writing?","Describe the audience, tone, and purpose","Use only one vague word","Provide a password","Turn off spell-check","Details about audience, tone, format, and purpose give the AI clearer direction."
"41","Which AI use is common in online shopping?","Product recommendations","Making physical products appear instantly","Removing the need for payment","Guaranteeing every item fits","Online stores use AI to recommend products based on browsing and purchasing patterns."
"42","What is automation?","Using technology to perform tasks with less manual effort","Doing every task by hand","A type of computer screen","A paper filing method","Automation uses rules or technology, sometimes including AI, to carry out tasks automatically."
"43","Are all automated systems AI?","No, some simply follow fixed rules","Yes, every timer is AI","Only if they use batteries","Only if they are online","Traditional automation can follow fixed instructions without learning or adapting, so it is not always AI."
"44","What does AI hallucination mean?","A confident-sounding but incorrect AI response","A computer going to sleep","A colorful screen effect","A virtual reality game","An AI hallucination is false or invented information presented as though it were true."
"45","How can AI help with a meeting?","Transcribing and summarizing discussion","Physically attending without any device","Guaranteeing everyone agrees","Changing the room size","AI tools can create transcripts, summaries, action items, and follow-up drafts from meetings."
"46","What does data privacy mean?","Protecting how personal information is collected and used","Making every file public","Deleting the internet","Using a larger monitor","Data privacy concerns people's control over how their personal information is collected, stored, and shared."
"47","Why might an AI give different answers to the same question?","Its generation can vary and context may differ","The keyboard changed color","The screen got warmer","The internet forgot the alphabet","Generative systems can produce varied outputs, and small changes in context or settings can affect an answer."
"48","Which action helps protect privacy when using AI?","Remove sensitive details before submitting text","Include every personal identifier","Share account passwords","Publish confidential files","Removing names, account details, and confidential information reduces privacy risk."
"49","Can AI replace human creativity completely?","No, it is a tool that people can direct and build upon","Yes, in every situation","Only for music","Only on weekends","AI can support creative work, but human intent, taste, experience, and judgment remain central."
"50","What is the best description of AI today?","A powerful tool with useful abilities and real limits","A perfect human mind","Magic that never fails","A device that needs no data","Modern AI is powerful and useful, but it has limitations and works best with thoughtful human oversight."